"Table 110-06811 : Land-based non-institutional population by District Council district, sex and age",,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 , , ,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population,Land-based non-institutional population
,,,No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%),Percentage share in respective sex and district (%)
Age group,Age group,Age group,0 - 14,15 - 24,25 - 64,25 - 64,25 - 64,25 - 64,25 - 64,65 and over,Total,0 - 14,15 - 24,25 - 64,25 - 64,25 - 64,25 - 64,25 - 64,65 and over,Total
Age group,Age group,Age group,,,25 - 34,35 - 44,45 - 54,55 - 64,Sub-total,,,,,25 - 34,35 - 44,45 - 54,55 - 64,Sub-total,,
Year,District Council district (DCD),Sex,,,,,,,,,,,,,,,,,,
2024,Central and Western,Male,11.4,9.0,10.6,13.5,14.1,15.0,53.1,22.1,95.6,11.9,9.4,11.1,14.1,14.8,15.7,55.6,23.1,100.0
2024,Central and Western,Female,11.5,10.1,21.3,27.0,20.0,17.6,85.8,26.4,133.8,8.6,7.6,15.9,20.1,15.0,13.1,64.1,19.7,100.0
2024,Central and Western,Both sexes,22.9,19.1,31.8,40.4,34.1,32.5,138.9,48.6,229.4,10.0,8.3,13.9,17.6,14.9,14.2,60.6,21.2,100.0
2024,Wan Chai (1),Male,7.2,5.9,6.2,9.3,9.3,9.5,34.2,17.2,64.6,11.2,9.1,9.5,14.3,14.5,14.7,53.0,26.7,100.0
2024,Wan Chai (1),Female,7.2,6.7,14.2,21.0,15.4,12.4,62.9,20.5,97.3,7.4,6.9,14.6,21.6,15.8,12.7,64.7,21.1,100.0
2024,Wan Chai (1),Both sexes,14.4,12.6,20.4,30.3,24.7,21.8,97.2,37.8,162.0,8.9,7.8,12.6,18.7,15.3,13.5,60.0,23.3,100.0
2024,Eastern (1),Male,23.1,17.8,23.6,28.7,31.8,37.9,121.9,61.5,224.4,10.3,8.0,10.5,12.8,14.2,16.9,54.4,27.4,100.0
2024,Eastern (1),Female,21.6,17.4,31.1,47.9,47.2,48.8,175.0,76.1,290.1,7.4,6.0,10.7,16.5,16.3,16.8,60.3,26.2,100.0
