"Table 210-06822 : Labour force and labour force participation rate by District Council district, sex and age (excluding foreign domestic helpers)",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 , , ,Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2)
,,,No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),(%),(%),(%)
Age group,Age group,Age group,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall
Age group,Age group,Age group,,25 - 34,35 - 44,45 - 54,Overall,,,,25 - 34,35 - 44,45 - 54,Overall,,
Year,District Council district (DCD),Sex,,,,,,,,,,,,,,
2022,North,Both sexes,9.6,36.9,35.7,34.5,107.0,42.6,159.3,33.2,83.1,79.2,75.2,79.1,35.4,55.9
2022,Tai Po,Male,3.6,17.7,20.6,16.5,54.9,25.3,83.8,32.1,89.3,94.9,91.3,92.0,44.9,65.9
2022,Tai Po,Female,2.7,15.0,17.9,13.7,46.6,16.2,65.5,25.7,77.3,71.6,65.7,71.4,26.3,47.7
2022,Tai Po,Both sexes,6.3,32.8,38.5,30.2,101.5,41.4,149.3,29.0,83.4,82.5,77.6,81.2,35.2,56.4
2022,Sha Tin,Male,8.0,35.3,43.0,39.8,118.0,50.5,176.5,29.6,91.7,95.0,90.9,92.6,42.1,64.3
2022,Sha Tin,Female,8.3,32.9,36.6,37.7,107.1,32.2,147.6,31.7,85.1,68.1,69.2,73.0,23.4,47.6
2022,Sha Tin,Both sexes,16.2,68.1,79.5,77.4,225.1,82.7,324.1,30.7,88.4,80.4,78.9,82.1,32.1,55.4
2022,Sai Kung,Male,6.0,28.0,30.1,30.9,89.1,36.6,131.7,29.6,90.1,95.6,92.3,92.7,46.3,67.4
2022,Sai Kung,Female,6.3,26.9,26.4,29.8,83.1,25.3,114.6,33.5,82.5,73.1,70.9,75.1,29.6,53.4
2022,Sai Kung,Both sexes,12.3,55.0,56.5,60.7,172.2,61.8,246.3,31.5,86.2,83.6,80.4,83.2,37.6,60.0
2022,Islands,Male,3.0,10.1,10.8,11.0,31.8,12.2,47.0,35.4,91.6,91.4,91.1,91.4,43.0,65.6
2022,Islands,Female,2.7,10.1,10.0,9.2,29.2,8.7,40.6,30.4,82.1,63.6,64.8,69.4,31.1,51.4
2022,Islands,Both sexes,5.6,20.2,20.7,20.1,61.0,20.9,87.6,32.9,86.6,75.5,76.9,79.3,37.1,58.2
2022,Whole Territory,Male,90.7,395.0,430.5,431.6,1257.0,535.2,1883.0,31.4,91.9,94.2,91.1,92.4,42.4,64.7
2022,Whole Territory,Female,86.8,356.3,369.9,402.4,1128.5,360.6,1576.0,31.4,80.9,69.0,68.4,72.1,25.5,48.4
2022,Whole Territory,Both sexes,177.5,751.2,800.3,833.9,2385.5,895.9,3458.9,31.4,86.3,80.6,78.5,81.5,33.4,56.1
2021,Central and Western,Male,2.6,11.7,13.8,13.2,38.7,17.6,59.0,33.8,93.1,93.8,94.3,93.7,49.4,69.6
2021,Central and Western,Female,2.1,14.7,13.0,12.4,40.1,12.3,54.5,24.4,81.7,76.3,71.8,76.7,30.8,54.0
2021,Central and Western,Both sexes,4.8,26.4,26.9,25.6,78.8,29.9,113.5,28.8,86.3,84.4,81.9,84.2,39.5,61.1
2021,Wan Chai (3),Male,1.7,7.2,9.3,9.4,25.9,11.2,38.8,36.4,94.6,97.6,90.5,94.1,44.1,67.3
2021,Wan Chai (3),Female,1.3,8.6,10.0,8.4,26.9,7.3,35.5,27.1,83.1,76.2,70.3,76.2,23.8,50.2
2021,Wan Chai (3),Both sexes,3.0,15.7,19.3,17.8,52.8,18.5,74.4,31.7,87.9,85.2,79.7,84.1,33.0,57.9
2021,Eastern (3),Male,5.6,25.0,28.9,31.2,85.1,38.4,129.1,30.9,93.7,94.7,92.5,93.6,40.3,63.2
2021,Eastern (3),Female,6.0,23.9,26.7,30.8,81.4,28.9,116.3,34.1,84.5,72.8,72.9,75.9,25.2,48.6
2021,Eastern (3),Both sexes,11.6,48.9,55.7,62.0,166.5,67.3,245.4,32.5,88.9,82.7,81.6,84.0,32.1,55.3
2021,Southern,Male,3.0,11.7,13.7,16.1,41.5,20.0,64.5,32.2,94.2,94.5,91.5,93.2,45.1,65.6
2021,Southern,Female,2.9,12.0,12.9,13.9,38.9,14.0,55.8,33.3,87.3,74.4,68.9,75.7,27.6,50.3
2021,Southern,Both sexes,5.9,23.7,26.7,30.0,80.3,34.0,120.3,32.7,90.6,83.6,79.4,83.8,35.7,57.5
2021,Yau Tsim Mong,Male,3.7,17.7,20.6,20.0,58.3,20.4,82.4,32.9,96.7,97.5,92.1,95.3,44.1,69.5
2021,Yau Tsim Mong,Female,3.9,17.0,17.3,18.8,53.2,13.8,70.9,33.0,75.4,71.2,71.3,72.5,28.3,53.0
2021,Yau Tsim Mong,Both sexes,7.6,34.7,37.9,38.8,111.5,34.2,153.2,33.0,84.9,83.4,80.7,82.9,36.1,60.7
2021,Sham Shui Po,Male,6.2,22.7,25.6,24.9,73.2,28.1,107.5,34.8,91.4,96.2,88.5,92.0,39.6,63.9
2021,Sham Shui Po,Female,6.1,20.4,22.3,25.3,68.0,19.8,93.9,35.3,78.3,69.1,69.5,71.8,25.1,49.2
2021,Sham Shui Po,Both sexes,12.3,43.1,47.9,50.2,141.2,47.9,201.4,35.0,84.7,81.4,77.8,81.0,31.9,56.0
2021,Kowloon City,Male,4.4,19.9,23.4,24.7,68.0,26.5,98.9,28.4,91.9,96.4,90.2,92.8,42.9,65.7
2021,Kowloon City,Female,5.1,20.0,19.4,23.1,62.5,18.1,85.7,33.0,83.7,64.7,68.6,71.4,25.1,48.9
2021,Kowloon City,Both sexes,9.5,39.9,42.8,47.8,130.5,44.7,184.6,30.7,87.6,78.9,78.3,81.1,33.3,56.7
2021,Wong Tai Sin,Male,5.8,22.9,21.2,24.4,68.4,31.8,106.1,33.7,91.9,95.8,91.6,92.9,41.2,63.1
2021,Wong Tai Sin,Female,5.7,19.4,17.2,23.8,60.4,23.8,90.0,35.3,84.9,66.6,70.2,73.1,26.7,47.8
2021,Wong Tai Sin,Both sexes,11.5,42.3,38.4,48.2,128.8,55.7,196.0,34.5,88.5,80.1,79.6,82.5,33.4,55.0
2021,Kwun Tong,Male,10.4,35.4,36.5,43.1,115.0,46.7,172.1,34.0,92.0,94.2,93.2,93.1,39.3,63.1
2021,Kwun Tong,Female,9.6,29.8,31.9,39.2,100.9,35.2,145.8,33.4,79.1,67.9,66.3,70.2,25.9,47.2
2021,Kwun Tong,Both sexes,20.1,65.3,68.3,82.3,215.9,81.9,317.9,33.7,85.6,79.8,78.1,80.8,32.1,54.6
2021,Kwai Tsing,Male,7.8,28.2,28.4,30.5,87.1,34.7,129.7,35.7,94.9,95.1,88.7,92.7,40.1,64.0
